"fecha";"total"
2024-01-01;1617
2024-01-02;1
2024-01-03;2162
2024-02-03;7653
2024-02-04;1
2024-02-05;34645
2024-02-06;29320
2024-02-07;3
2024-05-01;5213
2024-05-02;42258
2024-05-03;35341
2024-05-04;9548
2024-05-05;4704
2024-05-06;51555
2024-05-07;42931
2024-05-08;36707
2024-05-09;35922
2024-05-10;29107
2024-05-11;8473
2024-05-12;4218
2024-05-13;53440
2024-05-14;45355
2024-05-15;40942
2024-05-16;39070
2024-05-17;32411
2024-05-18;8827
2024-05-19;4156
2024-05-20;40880
2024-05-21;8462
2024-05-22;53068
2024-05-23;43767
2024-05-24;33111
2024-05-25;9516
2024-05-26;4741
2024-05-27;52937
2024-05-28;42571
2024-05-29;38151
2024-05-30;35216
2024-05-31;31418
2024-06-01;9431
2024-06-02;4580
2024-06-03;50676
2024-06-04;42977
2024-06-05;36691
2024-06-06;33600
2024-06-07;27965
2024-06-08;8153
2024-06-09;3443
2024-06-10;46350
2024-06-11;36719
2024-06-12;32380
2024-06-13;24739
2024-06-14;26761
2024-06-15;7943
2024-06-16;3284
2024-06-17;42348
2024-06-18;34586
2024-06-19;30707
2024-06-20;5300
2024-06-21;25030
2024-06-22;7219
2024-06-23;3184
2024-06-24;39265
2024-06-25;31455
2024-06-26;27719
2024-06-27;24835
2024-06-28;24559
2024-06-29;5358
2024-06-30;3503
2024-07-01;42139
2024-07-02;33621
2024-07-03;29223
2024-07-04;27018
2024-07-05;25447
2024-07-06;7717
2024-07-07;3623
2024-07-08;46923
2024-07-09;36069
2024-07-10;29829
2024-07-11;28707
2024-07-12;26028
2024-07-13;6839
2024-07-14;2841
2024-07-15;34248
2024-07-16;6531
2024-07-17;41225
2024-07-18;33542
2024-07-19;26726
2024-07-20;7328
2024-07-21;3498
2024-07-22;44573
2024-07-23;35883
2024-07-24;31217
2024-07-25;29376
2024-07-26;26066
2024-07-27;7079
2024-07-28;3431
2024-07-29;45756
2024-07-30;38274
2024-07-31;36042
2024-08-01;32281
2024-08-02;26316
2024-08-03;8227
2024-08-04;3966
2024-08-05;48427
2024-08-06;39690
2024-08-07;34102
2024-08-08;32502
2024-08-09;26624
2024-08-10;7524
2024-08-11;3639
2024-08-12;46651
2024-08-13;35198
2024-08-14;31720
2024-08-15;3384
2024-08-16;24331
2024-08-17;8810
2024-08-18;4097
2024-08-19;50634
2024-08-20;39436
2024-08-21;35472
2024-08-22;30699
2024-08-23;26150
2024-08-24;7180
2024-08-25;3622
2024-08-26;44758
2024-08-27;36724
2024-08-28;33160
2024-08-29;30343
2024-08-30;27866
2024-08-31;8698
2024-09-01;4118
2024-09-02;48860
2024-09-03;39380
2024-09-04;33864
2024-09-05;31203
2024-09-06;26674
2024-09-07;7701
2024-09-08;3655
2024-09-09;43662
2024-09-10;36286
2024-09-11;29942
2024-09-12;28092
2024-09-13;25663
2024-09-14;7106
2024-09-15;2755
2024-09-16;32950
2024-09-17;19983
2024-09-18;1976
2024-09-19;1991
2024-09-20;4565
2024-09-21;6543
2024-09-22;4164
2024-09-23;59815
2024-09-24;45167
2024-09-25;35501
2024-09-26;31379
2024-09-27;28488
2024-09-28;8912
2024-09-29;4011
2024-09-30;48248
2024-10-01;40567
2024-10-02;35356
2024-10-03;31693
2024-10-04;26821
2024-10-05;8075
2024-10-06;3851
2024-10-07;49244
2024-10-08;39723
2024-10-09;33781
2024-10-10;30453
2024-10-11;26353
2024-10-12;5195
2024-10-13;3529
2024-10-14;46126
2024-10-15;38074
2024-10-16;32191
2024-10-17;30055
2024-10-18;24994
2024-10-19;7666
2024-10-20;3712
2024-10-21;45092
2024-10-22;37282
2024-10-23;32383
2024-10-24;29539
2024-10-25;25648
2024-10-26;6852
2024-10-27;2963
2024-10-28;43777
2024-10-29;37734
2024-10-30;33538
2024-10-31;6118
2024-11-01;4381
2024-11-02;7956
2024-11-03;4489
2024-11-04;55958
2024-11-05;44322
2024-11-06;36896
2024-11-07;32172
2024-11-08;26948
2024-11-09;7833
2024-11-10;3668
2024-11-11;46573
2024-11-12;37250
2024-11-13;32315
2024-11-14;29879
2024-11-15;25552
2024-11-16;7610
2024-11-17;3638
2024-11-18;45754
2024-11-19;37408
2024-11-20;32130
2024-11-21;29023
2024-11-22;24888
2024-11-23;7349
2024-11-24;3253
2024-11-25;45363
2024-11-26;37072
2024-11-27;31977
2024-11-28;27624
2024-11-29;28137
2024-11-30;9049
2024-12-01;3968
2024-12-02;49114
2024-12-03;39255
2024-12-04;35329
2024-12-05;31753
2024-12-06;26518
2024-12-07;7757
2024-12-08;3592
2024-12-09;45538
2024-12-10;36273
2024-12-11;31597
2024-12-12;29350
2024-12-13;25848
2024-12-14;7797
2024-12-15;3736
2024-12-16;44465
2024-12-17;36327
2024-12-18;30639
2024-12-19;30032
2024-12-20;27581
2024-12-21;8087
2024-12-22;3164
2024-12-23;40460
2024-12-24;17846
2024-12-25;1949
2024-12-26;35057
2024-12-27;29740
2024-12-28;8849
2024-12-29;3274
2024-12-30;40413
2024-12-31;18515
2025-01-01;2007
2025-01-02;33818
2025-01-03;29352
2025-01-04;8636
2025-01-05;3260
2025-01-06;38058
2025-01-07;30037
2025-01-08;25786
2025-01-09;24528
2025-01-10;22735
2025-01-11;6482
2025-01-12;2535
2025-01-13;33769
2025-01-14;27207
2025-01-15;24375
2025-01-16;25152
2025-01-17;23124
2025-01-18;6600
2025-01-19;2741
2025-01-20;34202
2025-01-21;27490
2025-01-22;23894
2025-01-23;22719
2025-01-24;21180
2025-01-25;6437
2025-01-26;2568
2025-01-27;32736
2025-01-28;26837
2025-01-29;23873
2025-01-30;24626
2025-01-31;25413
2025-02-01;8458
2025-02-02;3138
2025-02-03;36094
2025-02-04;29344
2025-02-05;25059
2025-02-06;24115
2025-02-07;22002
2025-02-08;6789
2025-02-09;2664
2025-02-10;33032
2025-02-11;26434
2025-02-12;23123
2025-02-13;22562
2025-02-14;20974
2025-02-15;6957
2025-02-16;2749
2025-02-17;34197
2025-02-18;27938
2025-02-19;24039
2025-02-20;23106
2025-02-21;21612
2025-02-22;6497
2025-02-23;2867
2025-02-24;34996
2025-02-25;18335
2025-02-26;31557
2025-02-27;27169
2025-02-28;26632
2025-03-01;8982
2025-03-02;3977
2025-03-03;42996
2025-03-04;36157
2025-03-05;29386
2025-03-06;27434
2025-03-07;24348
2025-03-08;7121
2025-03-09;3123
2025-03-10;39065
2025-03-11;30020
2025-03-12;26580
2025-03-13;25531
2025-03-14;25528
2025-03-15;7237
2025-03-16;3196
2025-03-17;41367
2025-03-18;33138
2025-03-19;29150
2025-03-20;27575
2025-03-21;24506
2025-03-22;7135
2025-03-23;3139
2025-03-24;41145
2025-03-25;33852
2025-03-26;29824
2025-03-27;28673
2025-03-28;25757
2025-03-29;8299
2025-03-30;3636
2025-04-01;38682
2025-04-02;34028
2025-04-03;30837
2025-04-04;26874
2025-04-05;7879
2025-04-06;3473
2025-04-07;43650
2025-04-08;35275
2025-04-09;30665
2025-04-10;28640
2025-04-11;24811
2025-04-12;7364
2025-04-13;3304
2025-04-14;42980
2025-04-15;35011
2025-04-16;30728
2025-04-17;26249
2025-04-18;3516
2025-04-19;3525
2025-04-20;3269
2025-04-21;48398
2025-05-03;9415
2025-05-04;1
2025-05-16;1382
2025-05-17;113
2025-05-20;36778
2025-05-21;6118
2025-05-22;35857
2025-05-23;28009
2025-05-24;7789
2025-05-25;3593
2025-05-26;41937
2025-05-27;33274
2025-05-28;28594
2025-05-29;27018
2025-05-30;24458
2025-05-31;153
2025-06-01;3388
2025-06-02;41472
2025-06-03;34046
2025-06-04;28991
2025-06-05;27824
2025-06-06;24021
2025-06-07;6824
2025-06-08;3300
2025-06-09;38909
2025-06-10;31512
2025-06-11;27883
2025-06-12;25436
2025-06-13;23145
2025-06-14;6595
2025-06-15;2875
2025-06-16;37150
2025-06-17;30586
2025-06-18;25963
2025-06-19;23656
2025-06-20;4060
2025-06-21;5875
2025-06-22;2563
2025-06-23;34061
2025-06-24;27927
2025-06-25;23653
2025-06-26;22392
2025-06-27;19937
2025-06-28;6266
2025-06-29;2465
2025-06-30;34103
2025-07-01;27908
2025-07-02;25162
2025-07-03;23823
2025-07-04;21522
2025-07-05;6696
2025-07-06;3066
2025-07-07;38775
2025-07-08;30347
2025-07-09;25953
2025-07-10;23739
2025-07-11;20571
2025-07-12;6541
2025-07-13;2784
2025-07-14;34504
2025-07-15;27475
2025-07-16;4614
2025-07-17;27329
2025-07-18;22705
2025-07-19;6115
2025-07-20;2751
2025-07-21;36947
2025-07-22;29966
2025-07-23;26081
2025-07-24;24524
2025-07-25;20861
2025-07-26;109
2025-07-29;30728
2025-07-30;24889
2025-07-31;26473
2025-08-01;22311
2025-08-02;6474
2025-08-03;2935
2025-08-04;38815
2025-08-05;32699
2025-08-06;27986
2025-08-07;25634
2025-08-08;21291
2025-08-09;5953
2025-08-10;2941
2025-08-11;37555
2025-08-12;29888
2025-08-13;25540
2025-08-14;22655
2025-08-15;4008
2025-08-16;100
